"Comparison","Taxon","species","average","overall","sd","ratio","ava","avb","ord","cusum","p"
"2014_2015","Kellicottia","Kellicottia",0.0617227208285576,0.383318658999893,0.048446185556343,1.27404707139995,0.270211164736818,0.334899629787332,10,0.7425730569255,0.189
"2014_2015","Conochilus","Conochilus",0.0443871335977791,0.383318658999893,0.0435602373246994,1.01898282295654,0.254432235838418,0.182368413453782,3,0.593206484406307,0.808
"2014_2015","Keratella","Keratella",0.0439127017649543,0.383318658999893,0.0334991691644366,1.31085942906229,0.418484321797298,0.503874786191788,8,0.686723839366214,0.859
"2014_2015","Ascomorpha","Ascomorpha",0.0408921993165841,0.383318658999893,0.0356143700355202,1.14819381266045,0.247333432143487,0.151317627588483,2,0.921959482505426,0.017
"2014_2015","Nauplii","Nauplii",0.0364723586047911,0.383318658999893,0.0321314084572063,1.13509990243242,0.462608751769756,0.469497983373569,6,0.391378172361114,0.501
"2014_2015","Polyarthra","Polyarthra",0.0358469470964484,0.383318658999893,0.028525206227397,1.25667617652556,0.147348846094795,0.200679972626417,1,0.79757357597368,0.202
"2014_2015","Chydorus","Chydorus",0.021408047181019,0.383318658999893,0.0299161497748132,0.715601684781064,0.1050589634016,0.0153771869696808,16,0.881374574741067,0.003
"2014_2015","Daphnia","Daphnia",0.0210827252058462,0.383318658999893,0.0156026818924103,1.35122444661912,0.168833707652749,0.128724918375338,7,0.161021957526401,0.659
"2014_2015","Bosmina","Bosmina",0.0164359381812215,0.383318658999893,0.0183600200308199,0.895202627972706,0.0858952777867214,0.0218363987189452,11,0.49805755870582,0.883
"2014_2015","Diaptomus","Diaptomus",0.0156865482891453,0.383318658999893,0.0157842879454307,0.993807788059662,0.0601188629358707,0.0524507957555169,15,1,0.002
"2014_2016","Kellicottia","Kellicottia",0.0543513366995969,0.409916847122086,0.0305806001386478,1.77731425979792,0.270211164736818,0.292469653132273,14,0.690624328967667,0.562
"2014_2016","Conochilus","Conochilus",0.0520911839680453,0.409916847122086,0.048689830664148,1.06985757102667,0.254432235838418,0.166785316853785,8,0.552994724276551,0.431
"2014_2016","Ascomorpha","Ascomorpha",0.0466834695537651,0.409916847122086,0.0379648786593232,1.22964885447621,0.247333432143487,0.116642338515136,4,0.89168865188335,0.001
"2014_2016","Keratella","Keratella",0.041281327016069,0.409916847122086,0.0313787121556952,1.31558385223839,0.418484321797298,0.505714834656001,3,0.626598613515955,0.954
"2014_2016","Polyarthra","Polyarthra",0.0322745366131148,0.409916847122086,0.0223372602150569,1.44487445203147,0.147348846094795,0.164657304917457,1,0.746125398530312,0.446
"2014_2016","Nauplii","Nauplii",0.0301714742129396,0.409916847122086,0.021860795786539,1.38016358176302,0.462608751769756,0.479559753222143,11,0.37355378608238,0.935
"2014_2016","Ceriodaphnia","Ceriodaphnia",0.0262452194127017,0.409916847122086,0.037257984991911,0.704418647932778,0.00979140417240205,0.129814933349971,9,0.985639348552724,0.268
"2014_2016","Daphnia","Daphnia",0.0227508234470229,0.409916847122086,0.0153582054741066,1.48134646885535,0.168833707652749,0.0890709202376659,7,0.132591126910696,0.49
"2014_2016","Chydorus","Chydorus",0.0216411472944499,0.409916847122086,0.0301775969738319,0.717126261352609,0.1050589634016,0.0132258141720069,2,0.850415051572773,0.001
"2014_2016","Cyclopoida","Cyclopoida",0.021108938468172,0.409916847122086,0.0152037922968908,1.38839955558251,0.229274083673488,0.300548082684498,5,0.259668567942367,0.924
"2014_2019","Kellicottia","Kellicottia",0.0749849270688494,0.462932864427715,0.0536076493437044,1.39877289877206,0.270211164736818,0.484826258816067,4,0.631265622064185,0.003
"2014_2019","Conochilus","Conochilus",0.0488555719098088,0.462932864427715,0.045294103046666,1.07862985738946,0.254432235838418,0.18047117732188,3,0.525887505946807,0.599
"2014_2019","Ascomorpha","Ascomorpha",0.048304909047073,0.462932864427715,0.0407814588965449,1.18448212384,0.247333432143487,0,17,0.806024430050258,0.001
"2014_2019","Keratella","Keratella",0.0432543351570946,0.462932864427715,0.029470252384524,1.46772869783121,0.418484321797298,0.31227359438118,20,0.583326033934153,0.892
"2014_2019","Nauplii","Nauplii",0.0280508663118766,0.462932864427715,0.0219696244678668,1.27680226637029,0.462608751769756,0.454241643257532,11,0.3718582568955,0.978
"2014_2019","Gastropus","Gastropus",0.026590182289694,0.462932864427715,0.028137320556164,0.945014726495301,0,0.138896092010177,18,0.991503309302368,0.046
"2014_2019","Bosmina","Bosmina",0.0221928108525205,0.462932864427715,0.0242029786289883,0.916945438523002,0.0858952777867214,0.0695028495115182,6,0.465293695337673,0.633
"2014_2019","Chydorus","Chydorus",0.0206339914602072,0.462932864427715,0.030622876003276,0.67380971852545,0.1050589634016,0,8,0.762878199102199,0.001
"2014_2019","Daphnia","Daphnia",0.0201787851377882,0.462932864427715,0.0159087176338989,1.26841054082137,0.168833707652749,0.16436457132988,7,0.161977973116138,0.813
"2014_2019","Polyarthra","Polyarthra",0.0201150106849256,0.462932864427715,0.0172413099881239,1.16667531056405,0.147348846094795,0.111572163626995,10,0.675837941391125,0.992
"2014_2020","Conochilus","Conochilus",0.0531825048163028,0.505276532483585,0.0439117892527585,1.21112133486936,0.254432235838418,0.211569510284846,20,0.464717168237752,0.401
"2014_2020","Kellicottia","Kellicottia",0.0492618575839378,0.505276532483585,0.0475454438201986,1.03610048883401,0.270211164736818,0.0963314183773063,8,0.579044960512215,0.745
"2014_2020","Keratella","Keratella",0.0491474883827578,0.505276532483585,0.0331914461404921,1.48072753970186,0.418484321797298,0.285169668747016,19,0.521881604139506,0.559
"2014_2020","Ascomorpha","Ascomorpha",0.0475061253942477,0.505276532483585,0.0400526150661506,1.18609297584657,0.247333432143487,0,9,0.78464494015323,0.001
"2014_2020","Gastropus","Gastropus",0.0357127031755159,0.505276532483585,0.0274790652467176,1.29963311542345,0,0.180680080997526,18,0.990990813861055,0.001
"2014_2020","Conochiloides","Conochiloides",0.0288838479538186,0.505276532483585,0.0302043296281302,0.956281708928187,0,0.150833065558096,23,0.983276696273374,0.016
"2014_2020","Polyarthra","Polyarthra",0.0288833024931259,0.505276532483585,0.0235223978362765,1.22790638497669,0.147348846094795,0.123263035848824,2,0.635098232269665,0.678
"2014_2020","Cyclopoida","Cyclopoida",0.0283224027879642,0.505276532483585,0.0316133614122408,0.895899756392171,0.229274083673488,0.354030304156497,7,0.202749100372218,0.327
"2014_2020","Nauplii","Nauplii",0.0266804693860998,0.505276532483585,0.0195986966944068,1.36133896055007,0.462608751769756,0.53596889941635,6,0.300017596380103,0.969
"2014_2020","Ceriodaphnia","Ceriodaphnia",0.0254242138296299,0.505276532483585,0.0254065928129744,1.00069356079287,0.00979140417240205,0.13431501949146,10,0.91443075751068,0.309
