"Reservoir","DateTime","Taxon","biom","sd"
"BVR",2014-04-04,"Daphnia",0,NA
"BVR",2014-04-04,"Calanoida",0,NA
"BVR",2014-04-04,"Cyclopoida",8.38709677419355,NA
"BVR",2014-04-04,"Nauplii",0,NA
"BVR",2014-04-04,"Bosmina",0.32258064516129,NA
"BVR",2014-04-04,"Ceriodaphnia",0,NA
"BVR",2014-04-04,"Ascomorpha",0,NA
"BVR",2014-04-04,"Conochilus",0,NA
"BVR",2014-04-04,"Keratella",0,NA
"BVR",2014-04-04,"Trichocerca",0,NA
"BVR",2014-04-04,"Kellicottia",0,NA
"BVR",2014-04-04,"Polyarthra",0,NA
"BVR",2014-04-04,"Rotifera",0,NA
"BVR",2014-04-04,"Cladocera",20.9677419354839,0.445477272147525
"BVR",2014-04-04,"Copepoda",8.38709677419355,NA
"BVR",2014-04-17,"Daphnia",12.5806451612903,NA
"BVR",2014-04-17,"Calanoida",20.9677419354839,NA
"BVR",2014-04-17,"Cyclopoida",31.9354838709677,NA
"BVR",2014-04-17,"Nauplii",0,NA
"BVR",2014-04-17,"Bosmina",21.9354838709677,NA
"BVR",2014-04-17,"Ceriodaphnia",0,NA
"BVR",2014-04-17,"Ascomorpha",0,NA
"BVR",2014-04-17,"Conochilus",0,NA
"BVR",2014-04-17,"Keratella",0,NA
"BVR",2014-04-17,"Trichocerca",0,NA
"BVR",2014-04-17,"Kellicottia",0,NA
"BVR",2014-04-17,"Polyarthra",0,NA
"BVR",2014-04-17,"Rotifera",0,NA
"BVR",2014-04-17,"Cladocera",66.4516129032258,0.300055550412475
"BVR",2014-04-17,"Copepoda",52.9032258064516,0.240416305603426
"BVR",2014-04-30,"Daphnia",48.7096774193548,0.81317279836453
"BVR",2014-04-30,"Calanoida",91.2903225806452,NA
"BVR",2014-04-30,"Cyclopoida",20.6451612903226,NA
"BVR",2014-04-30,"Nauplii",0,NA
"BVR",2014-04-30,"Bosmina",35.8064516129032,NA
"BVR",2014-04-30,"Ceriodaphnia",0,NA
"BVR",2014-04-30,"Ascomorpha",0,NA
"BVR",2014-04-30,"Conochilus",0,NA
"BVR",2014-04-30,"Keratella",0,NA
"BVR",2014-04-30,"Trichocerca",0,NA
"BVR",2014-04-30,"Kellicottia",0,NA
"BVR",2014-04-30,"Polyarthra",0,NA
"BVR",2014-04-30,"Rotifera",0,NA
"BVR",2014-04-30,"Cladocera",127.096774193548,0.546168472176855
"BVR",2014-04-30,"Copepoda",111.935483870968,1.54856385079854
"BVR",2014-05-14,"Daphnia",94.1935483870968,NA
"BVR",2014-05-14,"Calanoida",15.4838709677419,NA
"BVR",2014-05-14,"Cyclopoida",199.677419354839,NA
"BVR",2014-05-14,"Nauplii",0,NA
"BVR",2014-05-14,"Bosmina",8.38709677419355,NA
"BVR",2014-05-14,"Ceriodaphnia",0,NA
"BVR",2014-05-14,"Ascomorpha",0,NA
"BVR",2014-05-14,"Conochilus",0,NA
"BVR",2014-05-14,"Keratella",0,NA
"BVR",2014-05-14,"Trichocerca",0,NA
"BVR",2014-05-14,"Kellicottia",0,NA
"BVR",2014-05-14,"Polyarthra",0,NA
"BVR",2014-05-14,"Rotifera",0,NA
"BVR",2014-05-14,"Cladocera",105.161290322581,1.59026203291575
"BVR",2014-05-14,"Copepoda",215.161290322581,4.03757972057519
"BVR",2014-05-29,"Daphnia",4.51612903225806,NA
"BVR",2014-05-29,"Calanoida",0,NA
"BVR",2014-05-29,"Cyclopoida",150.967741935484,NA
"BVR",2014-05-29,"Nauplii",0,NA
"BVR",2014-05-29,"Bosmina",0,NA
"BVR",2014-05-29,"Ceriodaphnia",0,NA
"BVR",2014-05-29,"Ascomorpha",0,NA
"BVR",2014-05-29,"Conochilus",0,NA
"BVR",2014-05-29,"Keratella",0,NA
"BVR",2014-05-29,"Trichocerca",0,NA
"BVR",2014-05-29,"Kellicottia",0,NA
"BVR",2014-05-29,"Polyarthra",0,NA
"BVR",2014-05-29,"Rotifera",0,NA
"BVR",2014-05-29,"Cladocera",38.7096774193548,0.650538238691624
"BVR",2014-05-29,"Copepoda",150.967741935484,NA
"BVR",2014-06-04,"Daphnia",84.5161290322581,NA
"BVR",2014-06-04,"Calanoida",0.645161290322581,NA
"BVR",2014-06-04,"Cyclopoida",354.838709677419,NA
"BVR",2014-06-04,"Nauplii",0,NA
"BVR",2014-06-04,"Bosmina",0,NA
"BVR",2014-06-04,"Ceriodaphnia",0,NA
"BVR",2014-06-04,"Ascomorpha",0,NA
"BVR",2014-06-04,"Conochilus",0,NA
"BVR",2014-06-04,"Keratella",0,NA
"BVR",2014-06-04,"Trichocerca",0,NA
"BVR",2014-06-04,"Kellicottia",0,NA
"BVR",2014-06-04,"Polyarthra",0,NA
"BVR",2014-06-04,"Rotifera",0,NA
"BVR",2014-06-04,"Cladocera",85.4838709677419,1.50400576240031
"BVR",2014-06-04,"Copepoda",355.483870967742,7.76403245742829
"BVR",2014-06-18,"Daphnia",79.3548387096774,NA
"BVR",2014-06-18,"Calanoida",0,NA
"BVR",2014-06-18,"Cyclopoida",2.58064516129032,NA
"BVR",2014-06-18,"Nauplii",0,NA
"BVR",2014-06-18,"Bosmina",0,NA
"BVR",2014-06-18,"Ceriodaphnia",0,NA
"BVR",2014-06-18,"Ascomorpha",0,NA
"BVR",2014-06-18,"Conochilus",0,NA
"BVR",2014-06-18,"Keratella",0,NA
"BVR",2014-06-18,"Trichocerca",0,NA
"BVR",2014-06-18,"Kellicottia",0,NA
"BVR",2014-06-18,"Polyarthra",0,NA
"BVR",2014-06-18,"Rotifera",0,NA
"BVR",2014-06-18,"Cladocera",86.7741935483871,1.35795188918214
"BVR",2014-06-18,"Copepoda",2.58064516129032,NA
"BVR",2014-06-25,"Daphnia",104.516129032258,NA
"BVR",2014-06-25,"Calanoida",0,NA
"BVR",2014-06-25,"Cyclopoida",262.258064516129,NA
"BVR",2014-06-25,"Nauplii",0,NA
"BVR",2014-06-25,"Bosmina",0.32258064516129,NA
"BVR",2014-06-25,"Ceriodaphnia",0,NA
"BVR",2014-06-25,"Ascomorpha",0,NA
"BVR",2014-06-25,"Conochilus",0,NA
"BVR",2014-06-25,"Keratella",0,NA
"BVR",2014-06-25,"Trichocerca",0,NA
"BVR",2014-06-25,"Kellicottia",0,NA
"BVR",2014-06-25,"Polyarthra",0,NA
"BVR",2014-06-25,"Rotifera",0,NA
"BVR",2014-06-25,"Cladocera",104.838709677419,2.28395490323255
"BVR",2014-06-25,"Copepoda",262.258064516129,NA
"BVR",2014-07-02,"Daphnia",153.548387096774,1.81019335983756
"BVR",2014-07-02,"Calanoida",0,NA
"BVR",2014-07-02,"Cyclopoida",123.225806451613,NA
"BVR",2014-07-02,"Nauplii",0,NA
"BVR",2014-07-02,"Bosmina",5.48387096774194,NA
"BVR",2014-07-02,"Ceriodaphnia",0,NA
"BVR",2014-07-02,"Ascomorpha",0,NA
"BVR",2014-07-02,"Conochilus",0,NA
"BVR",2014-07-02,"Keratella",0,NA
"BVR",2014-07-02,"Trichocerca",0,NA
"BVR",2014-07-02,"Kellicottia",0,NA
"BVR",2014-07-02,"Polyarthra",0,NA
"BVR",2014-07-02,"Rotifera",0,NA
"BVR",2014-07-02,"Cladocera",159.032258064516,1.68901105186832
"BVR",2014-07-02,"Copepoda",123.225806451613,NA
"BVR",2014-07-09,"Daphnia",15.1612903225806,0.289913780286484
"BVR",2014-07-09,"Calanoida",0,NA
"BVR",2014-07-09,"Cyclopoida",156.451612903226,NA
"BVR",2014-07-09,"Nauplii",0,NA
"BVR",2014-07-09,"Bosmina",0,NA
"BVR",2014-07-09,"Ceriodaphnia",2.25806451612903,NA
"BVR",2014-07-09,"Ascomorpha",0,NA
"BVR",2014-07-09,"Conochilus",0,NA
